,f.value,p.value,-LOG10(p),FDR,Fisher's LSD
A0A8M9P2G2,8.0341,0.00051246,3.2903,0.026568,EOfAD-like - MPS IIIB; wt - EOfAD-like; wt - MPS IIIB; wt - QC
Q7ZW96,7.9908,0.00053,3.2757,0.027309,MPS IIIB - EOfAD-like; MPS IIIB - wt
A0A8M1Q7T1,7.9854,0.00053224,3.2739,0.027309,EOfAD-like - MPS IIIB; wt - MPS IIIB
Q6DC31,7.9565,0.00054438,3.2641,0.027789,MPS IIIB - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt
Q7ZW80,7.8973,0.00057017,3.244,0.028957,MPS IIIB - EOfAD-like; MPS IIIB - wt
F1R9W6,7.8714,0.00058185,3.2352,0.0294,EOfAD-like - MPS IIIB; EOfAD-like - QC; wt - MPS IIIB; wt - QC
A0A8M9QIC9,7.8047,0.00061311,3.2125,0.030823,EOfAD-like - MPS IIIB; QC - MPS IIIB; wt - MPS IIIB
A0A8M1N2N9,7.7109,0.00066018,3.1803,0.033022,MPS IIIB - EOfAD-like; MPS IIIB - wt
E7F293,7.6902,0.00067109,3.1732,0.0334,EOfAD-like - MPS IIIB; EOfAD-like - wt; MPS IIIB - wt; QC - wt
Q6P2T9,7.6277,0.00070519,3.1517,0.034851,MPS IIIB - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt
Q7ZUG4,7.624,0.00070725,3.1504,0.034851,EOfAD-like - MPS IIIB; wt - MPS IIIB
A0A8M6Z9D3,7.5608,0.00074371,3.1286,0.036468,EOfAD-like - MPS IIIB; wt - MPS IIIB
Q6PBX5,7.544,0.00075378,3.1228,0.03678,MPS IIIB - EOfAD-like; MPS IIIB - wt
A0A8M9PTJ2,7.4997,0.00078092,3.1074,0.037918,MPS IIIB - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt
A0A8M9P5S7,7.4566,0.00080832,3.0924,0.038776,MPS IIIB - EOfAD-like; MPS IIIB - wt
L7RKJ8,7.4516,0.00081156,3.0907,0.038776,EOfAD-like - MPS IIIB; wt - MPS IIIB
A0A8M6Z208,7.4503,0.00081242,3.0902,0.038776,MPS IIIB - EOfAD-like; MPS IIIB - wt
Q5PRA2,7.4476,0.00081417,3.0893,0.038776,MPS IIIB - EOfAD-like; QC - EOfAD-like; wt - EOfAD-like
Q6AZA0,7.4311,0.00082503,3.0835,0.039107,MPS IIIB - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt
A0A8M2B981,7.4069,0.00084127,3.0751,0.039687,EOfAD-like - MPS IIIB; EOfAD-like - QC; EOfAD-like - wt
F1QGM6,7.3897,0.00085296,3.0691,0.040047,EOfAD-like - MPS IIIB; EOfAD-like - QC; wt - MPS IIIB; wt - QC
Q5RGJ6,7.3839,0.00085695,3.067,0.040047,MPS IIIB - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt
Q5XJ73,7.3342,0.00089196,3.0497,0.041489,EOfAD-like - MPS IIIB; QC - MPS IIIB; wt - MPS IIIB
A0A8M3B6S1,7.2992,0.00091755,3.0374,0.04248,EOfAD-like - MPS IIIB; wt - MPS IIIB
A0A8M6Z8T4,7.2331,0.00096804,3.0141,0.044384,MPS IIIB - EOfAD-like; MPS IIIB - wt
Q66L58,7.2329,0.00096819,3.014,0.044384,MPS IIIB - EOfAD-like; MPS IIIB - wt
A0A0R4IGE6,7.228,0.00097204,3.0123,0.044384,EOfAD-like - MPS IIIB; wt - MPS IIIB
Q6NYE4,7.1748,0.001015,2.9936,0.045932,EOfAD-like - QC; EOfAD-like - wt; MPS IIIB - QC; MPS IIIB - wt
A0A8M9Q1P6,7.1746,0.0010152,2.9935,0.045932,EOfAD-like - QC; MPS IIIB - QC; wt - QC
A0A0R4IV80,7.1468,0.0010384,2.9836,0.046771,EOfAD-like - QC; MPS IIIB - QC; wt - QC
A0A8M9PNF1,7.1341,0.0010492,2.9792,0.047043,MPS IIIB - EOfAD-like; MPS IIIB - wt
